date,sp500,monthly_return,monthly_volatility,hist_var95,hist_var99,hist_es95,hist_es99,rolling_volatility,rolling_skewness,rolling_kurtosis,trading_days
2015-05-31,2107.389892578125,0.010491382304590013,0.10797505787992626,-0.013400637879086498,-0.01776361330890989,-0.016432387742876017,-0.019842331380710784,0.1175791648181328,-0.10411997796269377,0.647741224101318,20
2015-06-30,2063.110107421875,-0.021011671979730195,0.11169898984442772,-0.013527434563681575,-0.019307025657682265,-0.017017670950010937,-0.020722250039385534,0.12094308110345262,-0.11507278867774474,0.540251131016448,22
2015-07-31,2103.840087890625,0.019742029435184882,0.11707644024566655,-0.013527434563681575,-0.01776361330890989,-0.016755442700542585,-0.02013734383183792,0.1217003480442224,-0.09019312686368788,0.4016739683423444,22
2015-08-31,1972.1800537109375,-0.0625808182558657,0.26765834219123263,-0.014924987968589369,-0.021204075071923494,-0.020707585902220698,-0.03130221577418121,0.14213099169918778,-0.1948135195852366,2.896828779012689,21
2015-09-30,1920.030029296875,-0.026442831280001577,0.22574589686306495,-0.01631883663115725,-0.027971716115822363,-0.022590765065369774,-0.03420111223694181,0.153514326566252,-0.23858598828728625,2.2550852322450337,21
2015-10-31,2079.360107421875,0.0829831178126661,0.12537474318645145,-0.015017998529405791,-0.027971716115822363,-0.02214935414627918,-0.03420111223694181,0.1494969838454799,-0.2453719752758794,2.6763611176401803,22
2015-11-30,2080.409912109375,0.0005048691103348713,0.12160331364981425,-0.015017998529405791,-0.027971716115822363,-0.02214935414627918,-0.03420111223694181,0.15227802378006308,-0.18264040345235535,2.3434570525507343,20
2015-12-31,2043.93994140625,-0.017530185032692658,0.1842605952645371,-0.01528686608915628,-0.027971716115822363,-0.022513875360757267,-0.03420111223694181,0.1550920205877784,-0.2251917976239567,1.964590787988321,22
2016-01-31,1940.239990234375,-0.05073532204695219,0.2419448678308028,-0.016519761235374627,-0.027971716115822363,-0.024122506980308742,-0.03420111223694181,0.162240946525989,-0.24430293676585813,1.642697771301438,19
2016-02-29,1932.22998046875,-0.004128360309003765,0.1857125204045003,-0.017489624268625905,-0.027971716115822363,-0.02440522552994723,-0.03420111223694181,0.16712653919002918,-0.19135164469371185,1.28659715742225,20
